e,a,v,tx,op
tmdb.movie/1000322,tmdb.movie/vote_count,0,41414,assert
tmdb.movie/1000322,tmdb.movie/vote_average,0,41414,assert
tmdb.movie/1000322,tmdb.movie/video,false,41414,assert
tmdb.movie/1000322,tmdb.movie/title,Mantra,41414,assert
tmdb.movie/1000322,tmdb.movie/release_date,2005-06-29,41414,assert
tmdb.movie/1000322,tmdb.movie/poster_path,/t6Eyg9TjxCBCgHxhy32MXvSsn4A.jpg,41414,assert
tmdb.movie/1000322,tmdb.movie/popularity,5.9916,41414,assert
tmdb.movie/1000322,tmdb.movie/overview,"The film deals with the supernatural and starts with the death of a criminal (Mantra Shiba ) in a shoot out . Before dying, through his supernatural powers, he implants his spirit into the body of a talking doll. This talking doll is stolen and sold at a cheaper price to a young working widowed woman, who buys it for her young son as a birthday gift .",41414,assert
tmdb.movie/1000322,tmdb.movie/original_title,Mantra,41414,assert
tmdb.movie/1000322,tmdb.movie/original_language,bn,41414,assert
tmdb.movie/1000322,tmdb.movie/id,1000322,41414,assert
tmdb.movie/1000322,tmdb.movie/genre_id,9648,41414,assert
tmdb.movie/1000322,tmdb.movie/genre_id,27,41414,assert
tmdb.movie/1000322,tmdb.movie/backdrop_path,,41414,assert
tmdb.movie/1000322,tmdb.movie/adult,false,41414,assert
tmdb.movie/100042,tmdb.movie/vote_count,3337,41457,assert
tmdb.movie/100042,tmdb.movie/vote_average,5.571,41457,assert
tmdb.movie/100042,tmdb.movie/video,false,41457,assert
tmdb.movie/100042,tmdb.movie/title,Dumb and Dumber To,41457,assert
tmdb.movie/100042,tmdb.movie/release_date,2014-11-12,41457,assert
tmdb.movie/100042,tmdb.movie/poster_path,/cvEi0xV7TUkabJGuzulhvbMjrHi.jpg,41457,assert
tmdb.movie/100042,tmdb.movie/popularity,4.5672,41457,assert
tmdb.movie/100042,tmdb.movie/overview,"20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.",41457,assert
tmdb.movie/100042,tmdb.movie/original_title,Dumb and Dumber To,41457,assert
tmdb.movie/100042,tmdb.movie/original_language,en,41457,assert
tmdb.movie/100042,tmdb.movie/id,100042,41457,assert
tmdb.movie/100042,tmdb.movie/genre_id,35,41457,assert
tmdb.movie/100042,tmdb.movie/backdrop_path,/436HdmXTod7X0aafPPoIZyaecgh.jpg,41457,assert
tmdb.movie/100042,tmdb.movie/adult,false,41457,assert
tmdb.movie/1000583,tmdb.movie/vote_count,0,41382,assert
tmdb.movie/1000583,tmdb.movie/vote_average,0,41382,assert
tmdb.movie/1000583,tmdb.movie/video,false,41382,assert
tmdb.movie/1000583,tmdb.movie/title,"Col. Billy Bibit, RAM",41382,assert
tmdb.movie/1000583,tmdb.movie/release_date,1994-09-21,41382,assert
tmdb.movie/1000583,tmdb.movie/poster_path,/ffa4YU9j6YSQd84YKQ6lu7nD2jo.jpg,41382,assert
tmdb.movie/1000583,tmdb.movie/popularity,3.1706,41382,assert
tmdb.movie/1000583,tmdb.movie/overview,The film tells the life of Colonel Billy Bibit from his days as a cadet to his exploits as a young officer and one of the heroes of the Philippine Revolution,41382,assert
tmdb.movie/1000583,tmdb.movie/original_title,"Col. Billy Bibit, RAM",41382,assert
tmdb.movie/1000583,tmdb.movie/original_language,tl,41382,assert
tmdb.movie/1000583,tmdb.movie/id,1000583,41382,assert
tmdb.movie/1000583,tmdb.movie/genre_id,28,41382,assert
tmdb.movie/1000583,tmdb.movie/backdrop_path,/lYn3owDDDE6RCSEWbL9AwQDntr0.jpg,41382,assert
tmdb.movie/1000583,tmdb.movie/adult,false,41382,assert
tmdb.movie/10009,tmdb.movie/vote_count,5659,41177,assert
tmdb.movie/10009,tmdb.movie/vote_average,7.269,41177,assert
tmdb.movie/10009,tmdb.movie/video,false,41177,assert
tmdb.movie/10009,tmdb.movie/title,Brother Bear,41177,assert
tmdb.movie/10009,tmdb.movie/release_date,2003-10-23,41177,assert
tmdb.movie/10009,tmdb.movie/poster_path,/otptPbEY0vBostmo95xwiiumMJm.jpg,41177,assert
tmdb.movie/10009,tmdb.movie/popularity,6.2142,41177,assert
tmdb.movie/10009,tmdb.movie/overview,"When an impulsive boy named Kenai is magically transformed into a bear, he must literally walk in another's footsteps until he learns some valuable life lessons. His courageous and often zany journey introduces him to a forest full of wildlife, including the lovable bear cub Koda, hilarious moose Rutt and Tuke, woolly mammoths and rambunctious rams.",41177,assert
tmdb.movie/10009,tmdb.movie/original_title,Brother Bear,41177,assert
tmdb.movie/10009,tmdb.movie/original_language,en,41177,assert
tmdb.movie/10009,tmdb.movie/id,10009,41177,assert
tmdb.movie/10009,tmdb.movie/genre_id,16,41177,assert
tmdb.movie/10009,tmdb.movie/genre_id,12,41177,assert
tmdb.movie/10009,tmdb.movie/backdrop_path,/sZhY0BAsN1bMAPLIqMRqG1fqb3A.jpg,41177,assert
tmdb.movie/10009,tmdb.movie/adult,false,41177,assert
tmdb.movie/1000921,tmdb.movie/vote_count,0,41239,assert
tmdb.movie/1000921,tmdb.movie/vote_average,0,41239,assert
tmdb.movie/1000921,tmdb.movie/video,false,41239,assert
tmdb.movie/1000921,tmdb.movie/title,Blood and Warriors,41239,assert
tmdb.movie/1000921,tmdb.movie/release_date,1991-08-01,41239,assert
tmdb.movie/1000921,tmdb.movie/poster_path,/ffc9yoUeHf21oAziyNT6DAjp2X4.jpg,41239,assert
tmdb.movie/1000921,tmdb.movie/popularity,4.8448,41239,assert
tmdb.movie/1000921,tmdb.movie/overview,,41239,assert
tmdb.movie/1000921,tmdb.movie/original_title,以血还血,41239,assert
tmdb.movie/1000921,tmdb.movie/original_language,zh,41239,assert
tmdb.movie/1000921,tmdb.movie/id,1000921,41239,assert
tmdb.movie/1000921,tmdb.movie/genre_id,53,41239,assert
tmdb.movie/1000921,tmdb.movie/backdrop_path,,41239,assert
tmdb.movie/1000921,tmdb.movie/adult,false,41239,assert
tmdb.movie/1000927,tmdb.movie/vote_count,0,41243,assert
tmdb.movie/1000927,tmdb.movie/vote_average,0,41243,assert
tmdb.movie/1000927,tmdb.movie/video,false,41243,assert
tmdb.movie/1000927,tmdb.movie/title,"The Myrna Diones Story (Lord, Have Mercy!)",41243,assert
tmdb.movie/1000927,tmdb.movie/release_date,1993-09-29,41243,assert
tmdb.movie/1000927,tmdb.movie/poster_path,/84fKm6KHdskOlIupuHaBCMlKsul.jpg,41243,assert
tmdb.movie/1000927,tmdb.movie/popularity,2.469,41243,assert
tmdb.movie/1000927,tmdb.movie/overview,"Based on the real life story of Myrna Diones, a 14 year-old survivor of a brutal massacre of her, her sister and their two cousins in the Cordillera mountain range in northern Luzon by the very people who should've protect them, policemen .",41243,assert
tmdb.movie/1000927,tmdb.movie/original_title,"The Myrna Diones Story (Lord, Have Mercy!)",41243,assert
tmdb.movie/1000927,tmdb.movie/original_language,en,41243,assert
tmdb.movie/1000927,tmdb.movie/id,1000927,41243,assert
tmdb.movie/1000927,tmdb.movie/genre_id,18,41243,assert
tmdb.movie/1000927,tmdb.movie/genre_id,80,41243,assert
tmdb.movie/1000927,tmdb.movie/backdrop_path,,41243,assert
tmdb.movie/1000927,tmdb.movie/adult,false,41243,assert
tmdb.movie/1001023,tmdb.movie/vote_count,38,41342,assert
tmdb.movie/1001023,tmdb.movie/vote_average,6.132,41342,assert
tmdb.movie/1001023,tmdb.movie/video,false,41342,assert
tmdb.movie/1001023,tmdb.movie/title,Just a Couple of Days,41342,assert
tmdb.movie/1001023,tmdb.movie/release_date,2024-04-03,41342,assert
tmdb.movie/1001023,tmdb.movie/poster_path,/sxPPpYkR9AsuYy7n5xbInbOzJa3.jpg,41342,assert
tmdb.movie/1001023,tmdb.movie/popularity,3.694,41342,assert
tmdb.movie/1001023,tmdb.movie/overview,"After being reassigned from music to field reporting, a critic goes to a refugee camp near Paris during an evacuation. He experiences police violence and is thrust into becoming the face of the refugee cause.",41342,assert
tmdb.movie/1001023,tmdb.movie/original_title,Quelques jours pas plus,41342,assert
tmdb.movie/1001023,tmdb.movie/original_language,fr,41342,assert
tmdb.movie/1001023,tmdb.movie/id,1001023,41342,assert
tmdb.movie/1001023,tmdb.movie/genre_id,18,41342,assert
tmdb.movie/1001023,tmdb.movie/genre_id,35,41342,assert
tmdb.movie/1001023,tmdb.movie/backdrop_path,/zolAqREFONN7Z7aKrfgUvRHepFI.jpg,41342,assert
tmdb.movie/1001023,tmdb.movie/adult,false,41342,assert
tmdb.movie/1001445,tmdb.movie/vote_count,0,41258,assert
tmdb.movie/1001445,tmdb.movie/vote_average,0,41258,assert
tmdb.movie/1001445,tmdb.movie/video,false,41258,assert
tmdb.movie/1001445,tmdb.movie/title,Jan & Dean - The Friendship Tour,41258,assert
tmdb.movie/1001445,tmdb.movie/release_date,1986-12-25,41258,assert
tmdb.movie/1001445,tmdb.movie/poster_path,/m9z0ylsUN0XY1mWbvpte9OPsYXi.jpg,41258,assert
tmdb.movie/1001445,tmdb.movie/popularity,3.9095,41258,assert
tmdb.movie/1001445,tmdb.movie/overview,Documentary/Concert film showcasing famous rock duo Jan and Dean during their 1986 Mainland China Tour as part of the first American Rock & Roll Tour in China,41258,assert
tmdb.movie/1001445,tmdb.movie/original_title,Jan and Dean in China,41258,assert
tmdb.movie/1001445,tmdb.movie/original_language,en,41258,assert
tmdb.movie/1001445,tmdb.movie/id,1001445,41258,assert
tmdb.movie/1001445,tmdb.movie/backdrop_path,,41258,assert
tmdb.movie/1001445,tmdb.movie/adult,false,41258,assert
tmdb.movie/10020,tmdb.movie/vote_count,10459,41558,assert
tmdb.movie/10020,tmdb.movie/vote_average,7.727,41558,assert
tmdb.movie/10020,tmdb.movie/video,false,41558,assert
tmdb.movie/10020,tmdb.movie/title,Beauty and the Beast,41558,assert
tmdb.movie/10020,tmdb.movie/release_date,1991-10-22,41558,assert
tmdb.movie/10020,tmdb.movie/poster_path,/hUJ0UvQ5tgE2Z9WpfuduVSdiCiU.jpg,41558,assert
tmdb.movie/10020,tmdb.movie/popularity,12.8712,41558,assert
tmdb.movie/10020,tmdb.movie/overview,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",41558,assert
tmdb.movie/10020,tmdb.movie/original_title,Beauty and the Beast,41558,assert
tmdb.movie/10020,tmdb.movie/original_language,en,41558,assert
tmdb.movie/10020,tmdb.movie/id,10020,41558,assert
tmdb.movie/10020,tmdb.movie/genre_id,10749,41558,assert
tmdb.movie/10020,tmdb.movie/genre_id,14,41558,assert
tmdb.movie/10020,tmdb.movie/backdrop_path,/fW4ZCoEZRBqLAJGFQ2g5AdAfPQR.jpg,41558,assert
tmdb.movie/10020,tmdb.movie/adult,false,41558,assert
tmdb.movie/1002138,tmdb.movie/vote_count,0,41290,assert
tmdb.movie/1002138,tmdb.movie/vote_average,0,41290,assert
tmdb.movie/1002138,tmdb.movie/video,false,41290,assert
tmdb.movie/1002138,tmdb.movie/title,Napoleon Doble,41290,assert
tmdb.movie/1002138,tmdb.movie/release_date,1966-06-19,41290,assert
tmdb.movie/1002138,tmdb.movie/poster_path,/a9EIXzAcMDmxYqOefaoMMQJSEyE.jpg,41290,assert
tmdb.movie/1002138,tmdb.movie/popularity,3.448,41290,assert
tmdb.movie/1002138,tmdb.movie/overview,A story about a government agent Napoleon Doble who once defeated his nemesis Elias who then changes his face into the likeness of Napoleon Doble. One day the two fatefully meet again when Napoleon Doble meets Anna a dancer who worked for Elias.,41290,assert
tmdb.movie/1002138,tmdb.movie/original_title,Napoleon Doble,41290,assert
tmdb.movie/1002138,tmdb.movie/original_language,tl,41290,assert
tmdb.movie/1002138,tmdb.movie/id,1002138,41290,assert
tmdb.movie/1002138,tmdb.movie/genre_id,35,41290,assert
tmdb.movie/1002138,tmdb.movie/genre_id,28,41290,assert
tmdb.movie/1002138,tmdb.movie/backdrop_path,,41290,assert
tmdb.movie/1002138,tmdb.movie/adult,false,41290,assert
tmdb.movie/1002141,tmdb.movie/vote_count,0,41101,assert
tmdb.movie/1002141,tmdb.movie/vote_average,0,41101,assert
tmdb.movie/1002141,tmdb.movie/video,false,41101,assert
tmdb.movie/1002141,tmdb.movie/title,Se quell'idiota ci pensasse...,41101,assert
tmdb.movie/1002141,tmdb.movie/release_date,1939-02-01,41101,assert
tmdb.movie/1002141,tmdb.movie/poster_path,/coTjSvBqQpTOHOPvPS6scynTD3T.jpg,41101,assert
tmdb.movie/1002141,tmdb.movie/popularity,2.4062,41101,assert
tmdb.movie/1002141,tmdb.movie/overview,,41101,assert
tmdb.movie/1002141,tmdb.movie/original_title,Se quell'idiota ci pensasse...,41101,assert
tmdb.movie/1002141,tmdb.movie/original_language,it,41101,assert
tmdb.movie/1002141,tmdb.movie/id,1002141,41101,assert
tmdb.movie/1002141,tmdb.movie/genre_id,35,41101,assert
tmdb.movie/1002141,tmdb.movie/backdrop_path,,41101,assert
tmdb.movie/1002141,tmdb.movie/adult,false,41101,assert
tmdb.movie/1002191,tmdb.movie/vote_count,0,41517,assert
tmdb.movie/1002191,tmdb.movie/vote_average,0,41517,assert
tmdb.movie/1002191,tmdb.movie/video,false,41517,assert
tmdb.movie/1002191,tmdb.movie/title,Digest,41517,assert
tmdb.movie/1002191,tmdb.movie/release_date,2022-07-01,41517,assert
tmdb.movie/1002191,tmdb.movie/poster_path,,41517,assert
tmdb.movie/1002191,tmdb.movie/popularity,4.5949,41517,assert
tmdb.movie/1002191,tmdb.movie/overview,"Geoff, a man with an unusual compulsion to eat inedible objects, calls on the unorthodox services of backstreet practitioner Doctor Dora in order to cure his ailment.",41517,assert
tmdb.movie/1002191,tmdb.movie/original_title,Digest,41517,assert
tmdb.movie/1002191,tmdb.movie/original_language,en,41517,assert
tmdb.movie/1002191,tmdb.movie/id,1002191,41517,assert
tmdb.movie/1002191,tmdb.movie/genre_id,35,41517,assert
tmdb.movie/1002191,tmdb.movie/genre_id,27,41517,assert
tmdb.movie/1002191,tmdb.movie/backdrop_path,,41517,assert
tmdb.movie/1002191,tmdb.movie/adult,false,41517,assert
tmdb.movie/1002590,tmdb.movie/vote_count,1,41568,assert
tmdb.movie/1002590,tmdb.movie/vote_average,5,41568,assert
tmdb.movie/1002590,tmdb.movie/video,false,41568,assert
tmdb.movie/1002590,tmdb.movie/title,"Asawa Mo, Kalaguyo Ko",41568,assert
tmdb.movie/1002590,tmdb.movie/release_date,1980-07-26,41568,assert
tmdb.movie/1002590,tmdb.movie/poster_path,/cJ4Jla2XRSpfuonpxcdQtYbjqVw.jpg,41568,assert
tmdb.movie/1002590,tmdb.movie/popularity,10.11,41568,assert
tmdb.movie/1002590,tmdb.movie/overview,"A 1980 pene movie from Bathaluman Productions. Original title Asawa Mo, Kalaguyo Ko.",41568,assert
tmdb.movie/1002590,tmdb.movie/original_title,"Asawa Mo, Kalaguyo Ko",41568,assert
tmdb.movie/1002590,tmdb.movie/original_language,en,41568,assert
tmdb.movie/1002590,tmdb.movie/id,1002590,41568,assert
tmdb.movie/1002590,tmdb.movie/genre_id,18,41568,assert
tmdb.movie/1002590,tmdb.movie/backdrop_path,,41568,assert
tmdb.movie/1002590,tmdb.movie/adult,false,41568,assert
tmdb.movie/10028,tmdb.movie/vote_count,1216,41141,assert
tmdb.movie/10028,tmdb.movie/vote_average,6.3,41141,assert
tmdb.movie/10028,tmdb.movie/video,false,41141,assert
tmdb.movie/10028,tmdb.movie/title,Honey,41141,assert
tmdb.movie/10028,tmdb.movie/release_date,2003-12-05,41141,assert
tmdb.movie/10028,tmdb.movie/poster_path,/gnY6d7BoddAAQ8s42fxCJK8lL1A.jpg,41141,assert
tmdb.movie/10028,tmdb.movie/popularity,6.374,41141,assert
tmdb.movie/10028,tmdb.movie/overview,"Honey Daniels dreams of making a name for herself as a hip-hop choreographer. When she's not busy hitting downtown clubs with her friends, she teaches dance classes at a nearby community center in Harlem, N.Y., as a way to keep kids off the streets. Honey thinks she's hit the jackpot when she meets a hotshot director casts her in one of his music videos. But, when he starts demanding sexual favors from her, Honey makes a decision that will change her life.",41141,assert
tmdb.movie/10028,tmdb.movie/original_title,Honey,41141,assert
tmdb.movie/10028,tmdb.movie/original_language,en,41141,assert
tmdb.movie/10028,tmdb.movie/id,10028,41141,assert
tmdb.movie/10028,tmdb.movie/genre_id,10402,41141,assert
tmdb.movie/10028,tmdb.movie/genre_id,18,41141,assert
tmdb.movie/10028,tmdb.movie/backdrop_path,/9dixOiaWMKAJiqBiIf7GgHADsG4.jpg,41141,assert
tmdb.movie/10028,tmdb.movie/adult,false,41141,assert
tmdb.movie/1002851,tmdb.movie/vote_count,0,41130,assert
tmdb.movie/1002851,tmdb.movie/vote_average,0,41130,assert
tmdb.movie/1002851,tmdb.movie/video,false,41130,assert
tmdb.movie/1002851,tmdb.movie/title,"Uhaw na Bulaklak, Part 2",41130,assert
tmdb.movie/1002851,tmdb.movie/release_date,1976-06-28,41130,assert
tmdb.movie/1002851,tmdb.movie/poster_path,/d8F3h7clvFVtMGNjYUGOaTnPy6Z.jpg,41130,assert
tmdb.movie/1002851,tmdb.movie/popularity,2.9401,41130,assert
tmdb.movie/1002851,tmdb.movie/overview,,41130,assert
tmdb.movie/1002851,tmdb.movie/original_title,"Uhaw na Bulaklak, Part 2",41130,assert
tmdb.movie/1002851,tmdb.movie/original_language,tl,41130,assert
tmdb.movie/1002851,tmdb.movie/id,1002851,41130,assert
tmdb.movie/1002851,tmdb.movie/genre_id,18,41130,assert
tmdb.movie/1002851,tmdb.movie/backdrop_path,,41130,assert
tmdb.movie/1002851,tmdb.movie/adult,false,41130,assert
tmdb.movie/1002995,tmdb.movie/vote_count,0,41508,assert
tmdb.movie/1002995,tmdb.movie/vote_average,0,41508,assert
tmdb.movie/1002995,tmdb.movie/video,false,41508,assert
tmdb.movie/1002995,tmdb.movie/title,La donna è mobile,41508,assert
tmdb.movie/1002995,tmdb.movie/release_date,1942-10-09,41508,assert
tmdb.movie/1002995,tmdb.movie/poster_path,/3JpNRTMqVByUfvRes91Qdhe4g3u.jpg,41508,assert
tmdb.movie/1002995,tmdb.movie/popularity,3.0432,41508,assert
tmdb.movie/1002995,tmdb.movie/overview,,41508,assert
tmdb.movie/1002995,tmdb.movie/original_title,La donna è mobile,41508,assert
tmdb.movie/1002995,tmdb.movie/original_language,it,41508,assert
tmdb.movie/1002995,tmdb.movie/id,1002995,41508,assert
tmdb.movie/1002995,tmdb.movie/genre_id,10402,41508,assert
tmdb.movie/1002995,tmdb.movie/genre_id,35,41508,assert
tmdb.movie/1002995,tmdb.movie/backdrop_path,,41508,assert
tmdb.movie/1002995,tmdb.movie/adult,false,41508,assert
tmdb.movie/1003002,tmdb.movie/vote_count,0,41493,assert
tmdb.movie/1003002,tmdb.movie/vote_average,0,41493,assert
tmdb.movie/1003002,tmdb.movie/video,false,41493,assert
tmdb.movie/1003002,tmdb.movie/title,La valle del diavolo,41493,assert
tmdb.movie/1003002,tmdb.movie/release_date,1943-04-06,41493,assert
tmdb.movie/1003002,tmdb.movie/poster_path,/zboFgTwwnY7HtQgRg0yPA1dZ7u6.jpg,41493,assert
tmdb.movie/1003002,tmdb.movie/popularity,4.1406,41493,assert
tmdb.movie/1003002,tmdb.movie/overview,,41493,assert
tmdb.movie/1003002,tmdb.movie/original_title,La valle del diavolo,41493,assert
tmdb.movie/1003002,tmdb.movie/original_language,it,41493,assert
tmdb.movie/1003002,tmdb.movie/id,1003002,41493,assert
tmdb.movie/1003002,tmdb.movie/genre_id,36,41493,assert
tmdb.movie/1003002,tmdb.movie/genre_id,18,41493,assert
tmdb.movie/1003002,tmdb.movie/backdrop_path,/vOcSHF6fBjZ5huWtrerVCPJnfqP.jpg,41493,assert
tmdb.movie/1003002,tmdb.movie/adult,false,41493,assert
tmdb.movie/1003339,tmdb.movie/vote_count,0,41147,assert
tmdb.movie/1003339,tmdb.movie/vote_average,0,41147,assert
tmdb.movie/1003339,tmdb.movie/video,false,41147,assert
tmdb.movie/1003339,tmdb.movie/title,ReUNITed at Chicago Tardis,41147,assert
tmdb.movie/1003339,tmdb.movie/release_date,2001-11-12,41147,assert
tmdb.movie/1003339,tmdb.movie/poster_path,/bpE3vzU3iMBPE7JXUx7IHz8AJZE.jpg,41147,assert
tmdb.movie/1003339,tmdb.movie/popularity,4.3997,41147,assert
tmdb.movie/1003339,tmdb.movie/overview,"It was a operation worthy of UNIT itself… bringing The Brigadier (Nicholas Courtney), Captain Yates (Richard Franklin) and RSM Benton (John Levene) back together again at Chicago TARDIS.  In this production we tear through the red tape to cover the convention and also talk to Katy Manning, Jon Pertwee, Terrance Dicks, Gary Russell, J. Jeremy Bentham and many more about the secret behind UNIT’s success.",41147,assert
tmdb.movie/1003339,tmdb.movie/original_title,ReUNITed,41147,assert
tmdb.movie/1003339,tmdb.movie/original_language,en,41147,assert
tmdb.movie/1003339,tmdb.movie/id,1003339,41147,assert
tmdb.movie/1003339,tmdb.movie/genre_id,99,41147,assert
tmdb.movie/1003339,tmdb.movie/backdrop_path,,41147,assert
tmdb.movie/1003339,tmdb.movie/adult,false,41147,assert
tmdb.movie/1003485,tmdb.movie/vote_count,21,41501,assert
tmdb.movie/1003485,tmdb.movie/vote_average,6.286,41501,assert
tmdb.movie/1003485,tmdb.movie/video,false,41501,assert
tmdb.movie/1003485,tmdb.movie/title,The Christmas Retreat,41501,assert
tmdb.movie/1003485,tmdb.movie/release_date,2022-12-29,41501,assert
tmdb.movie/1003485,tmdb.movie/poster_path,/ree44r29HUs5GArlkKsMAPv2ZbC.jpg,41501,assert
tmdb.movie/1003485,tmdb.movie/popularity,4.7795,41501,assert
tmdb.movie/1003485,tmdb.movie/overview,"When Kim's boyfriend breaks up with her instead of proposing, Kim's mom takes her away to a Christmas Retreat to reconnect with the spirit of the holiday. There she meets newly unemployed Mark.",41501,assert
tmdb.movie/1003485,tmdb.movie/original_title,The Christmas Retreat,41501,assert
tmdb.movie/1003485,tmdb.movie/original_language,en,41501,assert
tmdb.movie/1003485,tmdb.movie/id,1003485,41501,assert
tmdb.movie/1003485,tmdb.movie/genre_id,10770,41501,assert
tmdb.movie/1003485,tmdb.movie/genre_id,10749,41501,assert
tmdb.movie/1003485,tmdb.movie/backdrop_path,/i7aYkpatEJX9e6wDXxwKfTPGXWH.jpg,41501,assert
tmdb.movie/1003485,tmdb.movie/adult,false,41501,assert
tmdb.movie/1003596,tmdb.movie/vote_count,0,41547,assert
tmdb.movie/1003596,tmdb.movie/vote_average,0,41547,assert
tmdb.movie/1003596,tmdb.movie/video,false,41547,assert
tmdb.movie/1003596,tmdb.movie/title,Avengers: Doomsday,41547,assert
tmdb.movie/1003596,tmdb.movie/release_date,2026-12-16,41547,assert
tmdb.movie/1003596,tmdb.movie/poster_path,/8HkIe2i4ScpCkcX9SzZ9IPasqWV.jpg,41547,assert
tmdb.movie/1003596,tmdb.movie/popularity,27.2639,41547,assert
tmdb.movie/1003596,tmdb.movie/overview,"The Avengers, Wakandans, Fantastic Four, Thunderbolts, and X-Men all fight against Doctor Doom. Plot TBA.",41547,assert
tmdb.movie/1003596,tmdb.movie/original_title,Avengers: Doomsday,41547,assert
tmdb.movie/1003596,tmdb.movie/original_language,en,41547,assert
tmdb.movie/1003596,tmdb.movie/id,1003596,41547,assert
tmdb.movie/1003596,tmdb.movie/genre_id,28,41547,assert
tmdb.movie/1003596,tmdb.movie/backdrop_path,/3eOINbgRs8WiWfQfViXeuZ3enrs.jpg,41547,assert
tmdb.movie/1003596,tmdb.movie/adult,false,41547,assert
tmdb.movie/1003598,tmdb.movie/vote_count,0,41579,assert
tmdb.movie/1003598,tmdb.movie/vote_average,0,41579,assert
tmdb.movie/1003598,tmdb.movie/video,false,41579,assert
tmdb.movie/1003598,tmdb.movie/title,Avengers: Secret Wars,41579,assert
tmdb.movie/1003598,tmdb.movie/release_date,2027-12-16,41579,assert
tmdb.movie/1003598,tmdb.movie/poster_path,/f0YBuh4hyiAheXhh4JnJWoKi9g5.jpg,41579,assert
tmdb.movie/1003598,tmdb.movie/popularity,9.6384,41579,assert
tmdb.movie/1003598,tmdb.movie/overview,An upcoming film in Phase Six of the Marvel Cinematic Universe (MCU) and the finale of The Multiverse Saga. Plot TBA.,41579,assert
tmdb.movie/1003598,tmdb.movie/original_title,Avengers: Secret Wars,41579,assert
tmdb.movie/1003598,tmdb.movie/original_language,en,41579,assert
tmdb.movie/1003598,tmdb.movie/id,1003598,41579,assert
tmdb.movie/1003598,tmdb.movie/genre_id,878,41579,assert
tmdb.movie/1003598,tmdb.movie/genre_id,28,41579,assert
tmdb.movie/1003598,tmdb.movie/backdrop_path,/rytc6Lf4447C0CDncwFa4gxe0vY.jpg,41579,assert
